Mouse lncRNA	Human lncRNA	TTI	TGI	Confidence	T Cell subtypes
Gas5	GAS5	0.63	0.68	-	T4,T8,Tgd,Treg
Pced1b-AS-1	PCED1B-AS1	0.51	0.15	Low confidence	T4,T8,Tgd,Treg
Lnc-Gtf3c2-1	AC074117.1	0.36	0.53	Low confidence	T4,T8,Tgd,Treg
Gm10390	AC073863.1	0.06	0.35	-	Treg
Gm12758	AC010504.1	0.07	0.24	-	Tgd,Treg
Gm16153	RMND1-AS-1	0.04	0.1	-	T4,T8,Treg
Gm48879	AC008892.1	0.0	0.48	-	Treg
A430093F15Rik	CD6-AS-1	0.19	0.32	-	T4,T8,Tgd,Treg
Gm38250	AC009061.2	0.33	0.73	-	T4,T8,Tgd,Treg
Gm12359	MSL1-AS-1	0.31	0.5	-	T4,T8,Tgd,Treg
Usp24-AS-2	LNC-USP24-1	0.59	0.59	Low confidence	T4,T8,Tgd
Gm43533	ST7-OT4	0.0	0.57	-	T4,T8,Tgd,Treg
Lnc-Lrrc8b-2	LRRC8C-DT-AS-1	0.0	0.4	Intermediate confidence	Treg
E130307A14Rik	TRAF3IP2-AS1	0.38	0.52	-	T4,T8,Tgd,Treg
Slc39a1-AS-1	AL358472.4	0.1	0.1	Low confidence	T8
Gm16675	AC099343.4	0.16	0.18	-	T4,T8,Tgd,Treg
Snhg15	SNHG15	0.57	0.58	-	T4,T8,Tgd,Treg
E530011L22Rik	AC006059.1	0.08	0.65	-	T4,Treg
Gm14636	MIR222HG	0.24	0.26	-	T8,Tgd
Gm43068	AC004551.1	0.0	0.63	-	T4
2010001K21Rik	CORO1B-AS-1	0.0	0.68	-	T8,Treg
Gm27003	GABPB1-AS1	0.45	0.58	-	T4,T8,Tgd,Treg
Gm19585	SATB1-AS1	0.0	0.64	-	T4,T8,Tgd,Treg
Gm26532	AC020916.1	0.61	0.61	-	T4,T8,Tgd,Treg
Gm2682	LINC00861	0.0	0.13	-	T4,T8,Tgd,Treg
Zfp407-AS-1	LINC00909	0.68	0.68	Low confidence	T4,T8,Tgd,Treg
Oip5os1	OIP5-AS1	0.63	0.63	-	T4,T8,Tgd,Treg
Gm49901	AC010727.1	0.23	0.52	-	T4,T8,Tgd,Treg
A630052C17Rik	AC015982.2	0.11	0.09	-	T4,T8,Tgd,Treg
Gm26680	HCG11	0.23	0.0	-	Treg
Gm11491	AC099850.2	0.2	0.6	-	T4,T8,Tgd,Treg
Xist	XIST	0.73	0.67	-	T8,Treg
Ubqln1-AS-1	AL354920.1	0.03	0.56	Low confidence	T4,Tgd
Heatr5a-AS-1	AL136418.3	0.23	0.6	Intermediate confidence	T8
4930580E04Rik	AC007384.1	0.33	0.15	-	Tgd
Cst7-AS-1	AL035661.1-AS-1	0.48	0.09	Low confidence	T8,Tgd
Gm9752	AC114956.2	0.0	0.6	-	T4,T8,Treg
Gm20033	KLF3-AS1	0.18	0.79	-	T4,T8,Tgd
Gm10874	CYP3A5-AS-2	0.09	0.38	-	Tgd,Treg
2510046G10Rik	AC020765.2	0.63	0.63	-	T4,T8,Tgd,Treg
Pex2-AS-1	PEX2-AS-1	0.32	0.33	Intermediate confidence	T4,T8,Tgd
Gm26981	AP001767.3	0.0	0.59	-	Treg
Gm14230	DLGAP4-AS1	0.49	0.61	-	T4,T8,Tgd
Gm26632	RBPMS-AS-1	0.0	0.15	-	Tgd
Gm16310	AP000317.2	0.0	0.66	-	T4,Tgd,Treg
Gm49735	AC093010.1	0.46	0.57	-	Treg
Vim-AS-1	VIM-AS1	0.34	0.07	Low confidence	T4,T8,Tgd,Treg
Gm17435	AC008764.8	0.69	0.69	-	T4,T8,Tgd,Treg
Gm26982	LINC00852	0.59	0.59	-	T4,T8,Tgd,Treg
Gm32036	ELMO1-AS1	0.0	0.32	-	T4,T8,Tgd,Treg
Setd2-AS-1	KIF9-AS1	0.25	0.7	Low confidence	Tgd
Ints9-AS-1	INTS9-AS-1	0.2	0.07	Low confidence	T4,T8,Tgd,Treg
Lnc-Supt4a-1	TSPOAP1-AS1	0.4	0.65	Intermediate confidence	T4,Tgd
Gm20421	AL139246.5	0.04	0.31	-	Tgd
